Item ID,Item Name,Quantity,Total Bcy,Sub Total Bcy,Purchase Order ID,Product ID,Currency Code,Account ID,Tax ID,language,translated_item_name
3263831000000089042,,75.21,227510.25,227510.25,3263831000000089040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000089046,,15.0,47250.0,47250.0,3263831000000089040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000089044,,50.0,160000.0,160000.0,3263831000000089040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000092044,,12.0,38280.0,38280.0,3263831000000092040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000092052,,2.0,5900.0,5900.0,3263831000000092040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000092048,,20.0,59000.0,59000.0,3263831000000092040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000092046,,38.0,112100.0,112100.0,3263831000000092040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000092042,,10.0,31300.0,31300.0,3263831000000092040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000092050,,62.0,182900.0,182900.0,3263831000000092040,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000097051,,200.0,41200.0,41200.0,3263831000000097043,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000097047,,7.0,32200.0,32200.0,3263831000000097043,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000097055,,115.0,22770.0,22770.0,3263831000000097043,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000097045,,100.0,2100.0,2100.0,3263831000000097043,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000097053,,100.0,25300.0,25300.0,3263831000000097043,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000097049,,300.0,50400.0,50400.0,3263831000000097043,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000099098,,120.0,384000.0,384000.0,3263831000000099094,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000099102,,12.0,33600.0,33600.0,3263831000000099094,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000099100,,90.0,250200.0,250200.0,3263831000000099094,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
3263831000000099096,,50.0,157500.0,157500.0,3263831000000099094,,SAR,3263831000000034003,3.26383100000008e+18,unknown,
